date,calories,distance,steps,lightly_active_minutes,moderately_active_minutes,very_active_minutes,sedentary_minutes
2025-05-04,1425.6,0.0,0.0,0.0,0.0,0.0,1440.0
2025-05-05,1813.57,398600.0,3869.0,138.0,2.0,12.0,1288.0
2025-05-06,1778.81,175551.0,1864.0,161.0,0.0,0.0,1279.0
2025-05-07,1828.6,401850.0,4352.0,169.0,5.0,8.0,1258.0
2025-05-08,1909.28,319459.0,3477.0,239.0,5.0,2.0,1194.0
2025-05-09,1828.03,409683.0,4852.0,192.0,0.0,0.0,1248.0
2025-05-10,1772.36,315404.0,3187.0,164.0,0.0,0.0,1276.0
2025-05-11,1731.65,291819.0,2959.0,131.0,7.0,6.0,1296.0
2025-05-12,1618.66,217230.0,2587.0,106.0,0.0,0.0,1334.0
2025-05-13,1803.16,277876.0,3047.0,134.0,17.0,3.0,1286.0
2025-05-14,1607.81,243977.0,2465.0,82.0,0.0,0.0,1358.0
2025-05-15,2039.19,562305.0,6394.0,216.0,34.0,12.0,1178.0
2025-05-16,1996.08,375257.0,4256.0,269.0,3.0,8.0,1160.0
2025-05-17,1925.71,479177.0,5509.0,199.0,18.0,6.0,1217.0
2025-05-18,1849.74,488953.0,5696.0,219.0,0.0,0.0,1221.0
2025-05-19,1528.8899999999999,65237.0,952.0,66.0,0.0,0.0,1374.0
2025-05-20,1758.43,164507.0,1840.0,156.0,11.0,1.0,1272.0
2025-05-21,1832.2,395046.0,4269.0,145.0,9.0,12.0,1274.0
2025-05-22,1990.58,404538.0,4458.0,261.0,1.0,4.0,1174.0
2025-05-23,1833.0,466876.0,5146.0,201.0,4.0,6.0,1229.0
2025-05-24,1862.43,334794.0,4018.0,183.0,9.0,9.0,1239.0
2025-05-25,1901.8,439525.0,4622.0,193.0,2.0,8.0,1237.0
2025-05-26,1664.1399999999999,217562.0,2391.0,135.0,0.0,0.0,1305.0
2025-05-27,1841.8799999999999,333848.0,3918.0,177.0,0.0,0.0,1263.0
2025-05-28,1741.19,408106.0,4469.0,158.0,2.0,7.0,1273.0
2025-05-29,1425.6,823.0,12.0,0.0,0.0,0.0,1440.0
2025-05-30,1425.6,0.0,0.0,0.0,0.0,0.0,1440.0
2025-05-31,1425.6,0.0,0.0,0.0,0.0,0.0,1440.0
